Dataset,Batch,Opt,LR,Accuracy,Time_ms,FLOPs
MNIST,16,SGD,0.001,98.84,460156.0,550612992.0
MNIST,16,SGD,0.0001,96.77,457811.28,550612992.0
MNIST,16,Adam,0.001,98.94,465649.61,550612992.0
MNIST,16,Adam,0.0001,98.69,469017.47,550612992.0
MNIST,32,SGD,0.001,98.27,250663.42,1101225984.0
MNIST,32,SGD,0.0001,94.76,249881.88,1101225984.0
MNIST,32,Adam,0.001,98.61,254854.88,1101225984.0
MNIST,32,Adam,0.0001,98.51,256706.62,1101225984.0
FashionMNIST,16,SGD,0.001,88.69,459761.15,550612992.0
FashionMNIST,16,SGD,0.0001,84.31,461470.26,550612992.0
FashionMNIST,16,Adam,0.001,90.11,467592.38,550612992.0
FashionMNIST,16,Adam,0.0001,90.2,469685.57,550612992.0
FashionMNIST,32,SGD,0.001,87.48,251487.74,1101225984.0
FashionMNIST,32,SGD,0.0001,82.79,251963.3,1101225984.0
FashionMNIST,32,Adam,0.001,88.94,257416.67,1101225984.0
FashionMNIST,32,Adam,0.0001,89.03,257451.43,1101225984.0
