Dataset,Model,Batch,Opt,LR,Accuracy,Time_ms,FLOPs
MNIST,resnet50,16,SGD,0.001,97.80714285714286,454670.8447933197,1279750144.0
MNIST,resnet50,16,SGD,0.0001,87.23571428571428,453760.1776123047,1279750144.0
MNIST,resnet50,16,Adam,0.001,97.75714285714285,508248.05426597595,1279750144.0
MNIST,resnet50,16,Adam,0.0001,98.46428571428571,511052.4730682373,1279750144.0
MNIST,resnet50,32,SGD,0.001,97.01428571428572,272888.40770721436,2559500288.0
MNIST,resnet50,32,SGD,0.0001,73.37857142857143,274656.8269729614,2559500288.0
MNIST,resnet50,32,Adam,0.001,98.8,291014.42885398865,2559500288.0
MNIST,resnet50,32,Adam,0.0001,97.35,292623.2740879059,2559500288.0
FashionMNIST,resnet50,16,SGD,0.001,83.39285714285714,458638.4117603302,1279750144.0
FashionMNIST,resnet50,16,SGD,0.0001,73.68571428571428,455343.59335899353,1279750144.0
FashionMNIST,resnet50,16,Adam,0.001,85.71428571428571,511324.55110549927,1279750144.0
FashionMNIST,resnet50,16,Adam,0.0001,87.53571428571429,510566.4150714874,1279750144.0
FashionMNIST,resnet50,32,SGD,0.001,83.11428571428571,272707.71384239197,2559500288.0
FashionMNIST,resnet50,32,SGD,0.0001,64.87142857142857,272662.9557609558,2559500288.0
FashionMNIST,resnet50,32,Adam,0.001,85.52857142857142,293374.35841560364,2559500288.0
FashionMNIST,resnet50,32,Adam,0.0001,86.9,293647.3934650421,2559500288.0
